Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Fort Nelson,Nenan Dan zaa Deh Zona Child and Family Services Society,c/o 10615 102nd St.,Fort Nelson,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Fort St. John,Nenan Dan zaa Deh Zona Child and Family Services Society,10615 102nd St.,,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Fort St. John,Nenan Dan zaa Deh Zona Child and Family Services Society,10615 102nd St.,,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Family and Youth Services,,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Dawson Creek,Nenan Dan zaa Deh Zona Child and Family Services Society,c/o 10615 102nd St.,Dawson Creek,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Family and Youth Services,,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Fort Nelson,Nenan Dan zaa Deh Zona Child and Family Services Society,c/o 10615 102nd St.,Fort Nelson,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Family and Youth Services,,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Fort St. John,Nenan Dan zaa Deh Zona Child and Family Services Society,10615 102nd St.,,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Family and Youth Services,,Nenan Dane zaa Deh Zona Family Services Society,Fort St. John,BC,Moberly Lake,Nenan Dan zaa Deh Zona Child and Family Services Society,c/o 10615 102nd St.,Chetwynd,,V1J 5L3,250-787-2151,,,1-866-637-2151,,250-787-2152,,accounting@nenan.ca,,http://www.nenan.ca/,,Treaty 8 communities,Nee-naan daw-na zaa day Zone-nah,Northeast,9,
Services and Agencies,Health Services,,Nenqayni Wellness Centre Society,Williams Lake,BC,,,PO Box 2529,4802 Hwy. 97 N.,"21 Kilometers north of Williams Lake on Highway 97 on the Deep Creek Reserve, part of X'atsull First Nation (Secwepemc)",V2G 4P2,250-989-0301,,,1-888-668-4245,,250-989-0307,,walphonse@nenqayni.com,rwatson@nenqayni.com,www.nenqayni.com,,,nen-ky-knee,Cariboo,6,
Services and Agencies,Treatment and Healing Services,Residential,Nenqayni Wellness Centre Society,Williams Lake,BC,,,PO Box 2529,4802 Hwy. 97 N.,"21 Kilometers north of Williams Lake on Highway 97 on the Deep Creek Reserve, part of X'atsull First Nation (Secwepemc)",V2G 4P2,250-989-0301,,,1-888-668-4245,,250-989-0307,,walphonse@nenqayni.com,rwatson@nenqayni.com,www.nenqayni.com,,,nen-ky-knee,Cariboo,6,
First Nations,First Nation Communities,,Neskonlith Indian Band,Chase,BC,,,PO Box 318,743 Chief Neskonlith Dr.,,V0E 1M0,250-679-3295,,,1-800-817-1311,,250-679-5306,,,,http://www.neskonlith.org/,,(Shuswap) Secwepemc Nation,ness-con-lith,Thompson/Okanagan,4,690
Previous Name,First Nation Communities,,New Aiyansh Village Government,New Aiyansh,BC,See Gitlaxt'aamix Village Government,,,,,,,,,,,,,,,,,,,Unassigned,1,677
Umbrella Organizations,Provincial/Umbrella Organizations,,New Relationship Trust,West Vancouver,BC,,,1008-100 Park Royal South,,,V7T 1A2,604-925-3338,,,1-877-922-3338,,604-925-3348,,admin@nrtf.ca,,www.newrelationshiptrust.ca,,,,Mainland/Southwest,3,
Previous Name,First Nation Communities,,New Westminster Indian Band,Vancouver,BC,,see Qayqayt First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Nezul Be Hunuyeh Child & Family Services Society,Fort St. James,BC,,,PO Box 1180,700 Stuart Dr. W,,V0J 1P0,250-996-6806,,,1-866-996-0015,,250-996-6977,,,,,,"Nak'azdli, Tl'azt'en",nezul bay hun-yeah,Nechako,8,
First Nations,Tribal Councils/Affiliations,,Nicola Tribal Association,Merritt,BC,,,"PO Box 188, Stn Main",202-2090 Coutlee Ave.,,V1K 1B8,250-378-4235,,,,,250-378-9119,,administration@nicolatribal.org,,,,"Coldwater, Cook's Ferry, Nicomen, Nooaitch, Shackan, Siska, Upper Nicola",,Thompson/Okanagan,4,
Métis,Métis Nation British Columbia and Chartered Communities,,Nicola Valley & District Métis Society,Merritt,BC,Thompson/Okanagan,,2855 Scott Pl.,,,V1K 1G1,250-315-6024 ,250-378-5015 / 250-378-0076 ,,1-800-940-1150,,,,nicolavalleycc@mnbc.ca,reception@mnbc.ca,https://www.mnbc.ca/,,Métis Nation British Columbia,may-tee,Thompson/Okanagan,4,
Services and Agencies,Education,,Nicola Valley Institute of Technology,Merritt,BC,Merritt Campus,,4155 Belshaw St.,,,V1K 1R1,250-378-3300,,,1-877-682-3300,,250-378-3332,,info@nvit.bc.ca,,www.nvit.ca,,,,Thompson/Okanagan,4,
Services and Agencies,Education,,Nicola Valley Institute of Technology,Burnaby,BC,Vancouver Campus,,200 - 4355 Mathissi Pl.,,,V5G 4S8,604-602-9555,,,,,604-602-3400,,info@nvit.bc.ca,,www.nvit.ca,,,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,Nicola Valley Institute of Technology,Merritt,BC,Merritt Campus,,4155 Belshaw St.,,,V1K 1R1,250-378-3300,,,1-877-682-3300,,250-378-3332,,info@nvit.bc.ca,,www.nvit.ca,,,,Thompson/Okanagan,4,
Services and Agencies,"Employment, Job Search and Placement",,Nicola Valley Institute of Technology,Burnaby,BC,Vancouver Campus,,200 - 4355 Mathissi Pl.,,,V5G 4S8,604-602-9555,,,,,604-602-3400,,info@nvit.bc.ca,,www.nvit.ca,,,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Nicomen Indian Band,Lytton,BC,,,PO Box 670,1054 Spence Rd.,,V0K 1Z0,250-455-2514,,,,,250-455-2517,,nicomen696@hotmail.com,,,,Nicola Tribal Association,ni-kuh-men,Thompson/Okanagan,4,696
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,"NIL/TU,O Child & Family Services Society",Saanichton,BC,,,1-2475 Mt. Newton Cross Rd.,,,V8M 2B7,250-544-1400,,,1-888-744-1422,,250-544-1402,,kpatterson@niltuo.ca,,www.niltuo.ca,,"Pauquachin, Scia'new (Beecher Bay), Songhees, Tsartlip, Tsawout, T'Sou-ke, Tseycum",neeth-two-wa,Vancouver Island/Coast,2,
Services and Agencies,Legal Services,,Nisga’a Lisims Government,New Aiyansh,BC,Access to Justice Department,,PO Box 229,2000 Lisims Dr.,,V0J 1A0,250-633-3070,,,1-866-633-0888,,,,faitht@nisgaa.net,,www.nisgaalisims.ca,www.nnkn.ca,"Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh, Wilp Wilxo’oskwhl, Nisga’a Valley Health Authority, School District 92 (Nisga’a), Gitmaxak’ay Nisga’a Prince Rupert/Port Edward Society, Nis'ga’a Ts’amiks Vancouver Society",nis-gah liss-ums,North Coast,7,
First Nations,Treaty First Nations Government,,Nisga’a Lisims Government,New Aiyansh,BC,,,PO Box 231,2000 Lisims Dr.,,V0J 1A0,250-633-3000,,,1-866-633-0888,,250-633-2367,,,,www.nisgaalisims.ca,www.nnkn.ca,"Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh, Wilp Wilxo’oskwhl, Nisga’a Valley Health Authority, School District 92 (Nisga’a), Gitmaxak’ay Nisga’a Prince Rupert/Port Edward Society, Nis'ga’a Ts’amiks Vancouver Society",nis-gah liss-ums,North Coast,7,
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,Nisga’a Lisims Government,New Aiyansh,BC,Nisga'a Employment Skills & Training,,"Box 231, 2000 Lisims Dr.",,,V0J 1A0,250-633-3000,,, 1-866-633-0888,,,,,,http://www.nisgaanation.ca/employment-resources,,,,North Coast,7,
Services and Agencies,Arts and Culture,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,administration@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,officemanager@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Education,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,administration@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,administration@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,Urban Aboriginal Child and Family Services Agencies,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,officemanager@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Health Services,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,officemanager@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Languages,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,administration@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
First Nations,Tribal Councils/Affiliations,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,officemanager@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Nis'ga’a Ts’amiks Vancouver Society,Vancouver,BC,,,3983 Dumfries St.,,,V5N 5R3,604-646-4944,,,1-866-646-4944,,604-646-4955,,administration@tsamiks.com,,www.tsamiks.com,,"Nisga'a Lisims Government, Gingolx, Gitwinksihlkw, Laxgalts’ap, New Aiyansh",nis-gah tsa-miks,Mainland/Southwest,3,
Services and Agencies,Health Services,,Nisga’a Valley Health Authority,New Aiyansh,BC,,,PO Box 234,4920 Tait Ave.,,V0J 1A0,250-633-5000,,,1-888-233-2212,,250-633-2512,,,,www.nisgaahealth.bc.ca,,,nis-gah,North Coast,7,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Nisga'a Child & Family Services,Prince Rupert,BC,Prince Rupert,,360 - 309 2nd Ave. W.,,,V8J 3T1,250-627-4141,,,1-866-627-4141,,250-627-4151,,,,www.nisgaalisims.ca,,,nis-gah,North Coast,7,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Nisga'a Child & Family Services,Prince Rupert,BC,Prince Rupert,,360 - 309 2nd Ave. W.,,,V8J 3T1,250-627-4141,,,1-866-627-4141,,250-627-4151,,,,www.nisgaalisims.ca,,,nis-gah,North Coast,7,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Nisga'a Child & Family Services,New Aiyansh,BC,New Aiyansh,,PO Box 231,2000 Lisms Dr.,,V0J 1A0,250-633-3000,,,1-866-633-3018,,250-633-2367,,,,www.nisgaalisims.ca,,,nis-gah,North Coast,7,
Services and Agencies,Family and Youth Services,,Nisga'a Child & Family Services,Prince Rupert,BC,Prince Rupert,,360 - 309 2nd Ave. W.,,,V8J 3T1,250-627-4141,,,1-866-627-4141,,250-627-4151,,,,www.nisgaalisims.ca,,,nis-gah,North Coast,7,
First Nations,First Nation Communities,,Nisga'a Village of Gitwinksihlkw,Gitwinksihlkw,BC,,,"PO Box 1, 3004, Ts'oohl Ts'ap Ave.",,,V0J 3T0,250-633-2294,,,,,250-633-2539,,,,https://www.nisgaanation.ca/gitwinksihlkw,,Nisga'a Lisims Government,nis-gah git-win-silk,North Coast,7,679
First Nations,Treaty First Nations Government,,Nisga'a Village of Gitwinksihlkw,Gitwinksihlkw,BC,,,"PO Box 1, 3004, Ts'oohl Ts'ap Ave.",,,V0J 3T0,250-633-2294,,,,,250-633-2539,,,,https://www.nisgaanation.ca/gitwinksihlkw,,Nisga'a Lisims Government,nis-gah git-win-silk,North Coast,7,679
Services and Agencies,Education,,"NITEP, UBC’s Indigenous Teacher Education Program",Vancouver,BC,,Native Indian Teacher Education Program (NITEP),"First Nations Longhouse, 1985 West Mall",,,V6T 1Z2,604-822-5240,,,,,604-822-8944,,nitep.educ@ubc.ca,,nitep.educ.ubc.ca,,University of British Columbia - Faculty of Education,,Mainland/Southwest,3,
Previous Name,First Nation Communities,,Nitinaht First Nation,Port Alberni,BC,,see Ditidaht First Nation,,,,,,,,,,,,,,,,,dee-tee-dot,Unassigned,1,
First Nations,Tribal Councils/Affiliations,,Nlaka'pamux Nation Tribal Council,Lytton,BC,,,PO Box 430,1632 St. Georges Rd.,,V0K 1Z0,250-455-2711,,,1-866-455-2711,,250-455-2565,,nlakapamux@nntc.ca,,http://www.nntc.ca/pages/home.aspx,,"Ashcroft, Boothroyd, Boston Bar, Kanaka Bar, Lytton, Oregon Jack Creek, Skuppah, Spuzzum",ent-la-cap-um,Thompson/Okanagan,4,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Nlha'7kapmx Child & Family Services,Lytton,BC,,,PO Box 567,987 George Rd.,,V0K 1Z0,250-455-2118,,,1-888-228-2118,,250-455-2117,,,,,,"Cook's Ferry, Kanaka Bar, Lytton, Nicomen, Siska, Skuppah",ent-la-cap-um,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Nooaitch Indian Band,Merritt,BC,,,2954 Shackelly Rd.,,,V1K 1N9,250-378-6141,,,1-877-301-6161,,250-378-3699,, reception@nooaitchband.ca,christine@nooaitchband.ca,http://www.nooaitchindianband.com/,,Nicola Tribal Association,new-ich,Thompson/Okanagan,4,699
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,North Cariboo Aboriginal Family Program Society,Quesnel,BC,,,324 Hoy St.,,,V2J 1X3,250-992-9160,,,,,250-992-9157,,ncafps@longname.ca,,,,"Quesnel Tillicum Society, North Cariboo Métis Association; Member Bands: Lhoosk'uz Dene, Nazko First Nations, Lhtako First Nations and ?Esdilagh First Nations",,Cariboo,6,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,North Cariboo Aboriginal Family Program Society,Quesnel,BC,,,324 Hoy St.,,,V2J 1X3,250-992-9160,,,,,250-992-9157,,ncafps@longname.ca,,,,"Quesnel Tillicum Society, North Cariboo Métis Association; Member Bands: Lhoosk'uz Dene, Nazko First Nations, Lhtako First Nations and ?Esdilagh First Nations",,Cariboo,6,
Métis,Métis Nation British Columbia and Chartered Communities,,North Cariboo Métis Association,Quesnel,BC,North Central,,A - 668 Doherty Dr.,,,V2J 1B9,250-992-9722,,,1-800-940-1150,,250-992-9721,,ncma1@shaw.ca,,https://www.mnbc.ca/,,Métis Nation British Columbia,may-tee,Cariboo,6,
Métis,Métis Nation British Columbia and Chartered Communities,,North East Métis Association,Pouce Coupe,BC,Northeast,,Box 554,,,V0C 2C0,250-782-2710,,,1-800-940-1150,,,,NEMA_2013_@outlook.com,reception@mnbc.ca,,,Métis Nation British Columbia,may-tee,Northeast,9,
Services and Agencies,Arts and Culture,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Business and Economic Development,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Education,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Family and Youth Services,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Languages,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Services and Agencies,Youth Organizations and Resources,,North East Native Advancing Society,Fort St. John,BC,,,10328 - 101 Ave.,,,V1J 2B5,250-785-0887,,,1-855-785-0887,,250-785-0876,,nenas@nenas.org,,www.nenas.org,,,,Northeast,9,
Métis,Métis Nation British Columbia and Chartered Communities,,North Fraser Métis Association,New Westminster,BC,Lower Mainland,,204 – 204 Sixth St.,,,V3L 3A1,778-773-3156 ,,,1-800-940-1150,,,,Northfrasercc@mnbc.ca,,,,Métis Nation British Columbia,may-tee,Mainland/Southwest,3,
Métis,Métis Nation British Columbia and Chartered Communities,,North Island Métis Nation,Campbell River,BC,Vancouver Island,,123A - 740 Robron Rd.,,,V9W 6J7,250-287-7417,,,1-800-940-1150,,,,nimetis88@gmail.com,reception@mnbc.ca,http://www.nimetis.com/,,Métis Nation British Columbia,may-tee,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,North Thompson Indian Band,Barriere,BC,,see Simpcw First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Education,,North Vancouver Island Aboriginal Training Society,Campbell River,BC,,,1211 Cypress St.,,,V9W 2Z3,250-286-3455,,,,,250-286-3487,,ssimms@nviats.com,,www.nviats.com,,North Island/Nuu-chah-nulth Tribal Council Aboriginal Management Society,,Vancouver Island/Coast,2,
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,North Vancouver Island Aboriginal Training Society,Campbell River,BC,,,1211 Cypress St.,,,V9W 2Z3,250-286-3455,,,,,250-286-3487,,ssimms@nviats.com,,www.nviats.com,,North Island/Nuu-chah-nulth Tribal Council Aboriginal Management Society,,Vancouver Island/Coast,2,
Services and Agencies,Arts and Culture,,North West BC Métis Association,Terrace,BC,,,306 - 4536 Park Ave.,,,V8G 1V4,250-638-1199,,,1-800-940-1150,,250-638-1299,,sidpeltier@hotmail.com,,,,,,North Coast,7,
Services and Agencies,Youth Organizations and Resources,,North West BC Métis Association,Terrace,BC,,,306 - 4536 Park Ave.,,,V8G 1V4,250-638-1199,,,1-800-940-1150,,250-638-1299,,sidpeltier@hotmail.com,,,,,,North Coast,7,
Métis,Métis Organizations,,North West BC Métis Association,Terrace,BC,,,306 - 4536 Park Ave.,,,V8G 1V4,250-638-1199,,,1-800-940-1150,,250-638-1299,,sidpeltier@hotmail.com,,,,,,North Coast,7,
Umbrella Organizations,Provincial/Umbrella Organizations,,North West Indigenous Council Society,Vancouver,BC,,,303 – 920 E. Hastings St.,,,V6A 3T1,604-417-0327,,,,,,,clarkscott00@hotmail.com,,https://www.facebook.com/NorthWestIndigenousCouncil/,,Congress of Aboriginal Peoples (CAP),,Mainland/Southwest,3,
Services and Agencies,Health Services,,North Wind Wellness Centre,Dawson Creek,BC,,North Wind Healing Centre,"PO Box 2480, Station A","5524 - 235 Rd., Farmington BC",,V1G 4T9,250-843-6977,,,1-888-698-4333,,250-843-6978,,t8heal@pris.ca,,http://www.northwindhealingcentre.ca/,,,,Northeast,9,
Services and Agencies,Treatment and Healing Services,Residential,North Wind Wellness Centre,Dawson Creek,BC,,North Wind Healing Centre,PO Box 2480 Station A,"5524 - 235 Rd., Farmington BC",,V1G 4T9,250-843-6977,,,1-888-698-4333,,250-843-6978,,t8heal@pris.ca,,http://www.northwindhealingcentre.ca/,,,,Northeast,9,
Services and Agencies,Business and Economic Development,,Northeast Aboriginal Business Centre Society,Fort St. John,BC,,,10055 100th Ave.,,,V1J 1Y7,250-785-1870,,,1-888-783-1870,,250-785-1883,,office@neabc.ca,,http://neabc.ca/,https://www.facebook.com/theNEABC/ ,Treaty 8,,Northeast,9,
Services and Agencies,Business and Economic Development,,Northern Development Initiative Trust,Prince George,BC,,,301 - 1268 Fifth Ave.,,,V2L 3L2,250-561-2525,,,,,250-561-2563,,info@northerndevelopment.bc.ca,,www.northerndevelopment.bc.ca,,,,Nechako,8,
Services and Agencies,Communications and Media,,Northern Native Broadcasting (CFNR),Terrace,BC,,,4562B Queensway Dr.,,,V8G 3X6,250-638-8137,,,1-866-833-2367,,250-638-8027,,gsmith@classicrockcfnr.ca,,www.classicrockcfnr.ca,,,,North Coast,7,
Services and Agencies,Education,,Northern Native Public Legal Education Program,Prince George,BC,,,1046 - 250 George St.,,,V2L 5S2,250-614-2736,,,,,,,,,www.justiceeducation.ca,,,,Nechako,8,
Services and Agencies,Legal Services,,Northern Native Public Legal Education Program,Prince George,BC,,,1046 - 250 George St.,,,V2L 5S2,250-614-2736,,,,,,,,,www.justiceeducation.ca,,,,Nechako,8,
Services and Agencies,Youth Organizations and Resources,,Northern Native Public Legal Education Program,Prince George,BC,,,1046 - 250 George St.,,,V2L 5S2,250-614-2736,,,,,,,,,www.justiceeducation.ca,,,,Nechako,8,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Northern Rockies Aboriginal Women Society (NRAWS),Fort Nelson,BC,,,PO Box 3190,5019 52 Ave. W,,V0C 1R0,250-233-8920,,,,,250-233-8921,,ed.nraws@northwestel.net,,www.nraws.org,,,,Northeast,9,
Services and Agencies,Legal Services,,Northern Rockies Aboriginal Women Society (NRAWS),Fort Nelson,BC,,,PO Box 3190,5019 52 Ave. W,,V0C 1R0,250-233-8920,,,,,250-233-8921,,ed.nraws@northwestel.net,,www.nraws.org,,,,Northeast,9,
Services and Agencies,Women's Organizations,,Northern Rockies Aboriginal Women Society (NRAWS),Fort Nelson,BC,,,PO Box 3190,5019 52 Ave. W,,V0C 1R0,250-233-8920,,,,,250-233-8921,,ed.nraws@northwestel.net,,www.nraws.org,,,,Northeast,9,
First Nations,Tribal Councils/Affiliations,,Northern Shuswap Tribal Council,Williams Lake,BC,,Northern Secwepemc te Quelmucw,17 S. 1st Ave.,,,V2G 1H4,250-392-7361,,,,,250-392-6158,,administration@nstq.org,,www.northernshuswaptribalcouncil.com,,"Canim Lake, Stswecem'c Xat'tem First Nation, Soda Creek, Williams Lake",,Cariboo,6,
Métis,Métis Nation British Columbia and Chartered Communities,,Northwest BC Métis Association,,BC,Northwest,,call/email for address,,,,250-407-2277 ,,,1-800-940-1150,,,,conlonbrady@gmail.com ,reception@mnbc.ca,,,,,North Coast,7,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Northwest Inter-Nation Family & Community Services Society,Prince Rupert,BC,Sub-Office (serving Tsimshian and Haisla Nations),,3 - 222 3rd Ave. ,,,V8J 1L1,250-622-2514,,,,,250-622-2614,,info@nifcs.org,,www.nifcs.org,,"Communities served:  Gitxaala Nation (Kitkatla), Gitga’at First Nation (Hartley Bay), Metlakatla First Nation, Lax Kw’alaams Band, Kitsumkalum Band, Kitselas First Nation and Haisla Nation Council",,North Coast,7,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Northwest Inter-Nation Family & Community Services Society,Terrace,BC,Head Office (serving Tsimshian and Haisla Nations),,4562 Queensway Dr.,Kitselas IR#6,,V8G 3X6,250-638-0451,,,1-888-310-3311,,250-638-8930,,info@nifcs.org,,www.nifcs.org,,Communities served:  Gitxaala Nation (Kitkatla); Gitga’at First Nation (Hartley Bay); Metlakatla First Nation; Lax Kw’alaams Band; Kitsumkalum Band; Kitselas First Nation and Haisla Nation Council,,North Coast,7,
Métis,Métis Nation British Columbia and Chartered Communities,,Nova Métis Heritage Association,,BC,Lower Mainland,,please email/call for address,,,,604-372-1538,,,1-800-940-1150,,,,keenanmccarthy@hotmail.com,reception@mnbc.ca,,,Métis Nation British Columbia,may-tee,Mainland/Southwest,3,
